#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,libxft-git,is a FreeType-based font drawing library for X
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,polkit,manages user policies.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
A,lf-git,is an extensive terminal file manager that everyone likes.
,ueberzug,enables previews in the lf file manager.
,bc,is used for a dropdown calculator.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,arandr,allows the user to customize monitor arrangements.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,ffmpegthumbnailer,creates thumbnail previews of video files.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,python-qdarkstyle,provides a dark Qt theme.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
A,brave-bin,a ncurses interface for music with multiple formats and a powerful tag editor.
A,noto-fonts,is a terminal RSS client.
,noto-fonts-emoji,the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default.
,ntfs-3g,is an expansive font package.
,pipewire,is an emoji font.
,pipewire-pulse,allows accessing NTFS partitions.
,pulsemixer,is the audio system.
,pamixer,gives pipewire compatibility with PulseAudio programs.
A,sc-im,is an audio controller.
,maim,is a command-line audio interface.
A,abook,is an Excel-like terminal spreadsheet manager.
,unclutter,can take quick screenshots at your request.
,unzip,is an offline addressbook usable by neomutt.
,lynx,hides an inactive mouse.
,xcape,unzips zips.
,xclip,is a terminal browser.
,xdotool,gives the special escape/super mappings of LARBS.
,xorg-xdpyinfo,allows for copying and pasting from the command line.
,yt-dlp,provides window action utilities on the command line.
,zathura,aids with resolution determination and screen recording.
,zathura-pdf-mupdf,can download any YouTube video (or playlist or channel) when given the link.
,poppler,is a pdf viewer with vim-like bindings.
,mediainfo,allows mupdf pdf compatibility in zathura.
,atool,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,fzf,shows audio and video information.
,bat,manages and gives information about archives.
,xorg-xbacklight,is a fuzzy finder tool.
A,zsh-fast-syntax-highlighting-git,can highlight code output and display files.
A,task-spooler,enables changing screen brightness levels.
A,simple-mtpfs,provides syntax highlighting in the shell.
A,htop-vim,queues commands or files for download.
G,https://github.com/LukeSmithxyz/dwmblocks.git,enables the mounting of cell phones.
G,https://github.com/lukesmithxyz/dmenu.git,is a graphical and colorful system monitor.
G,https://github.com/lukesmithxyz/st.git,serves as the modular status bar.
G,https://github.com/james-ralph8555/dwm.git,runs commands and provides a UI for selection.
,slock,is my custom build of suckless's terminal emulator.
,socat,is the window manager.
,moreutils,is a light-weight terminal-based email system.
A,apple-fonts,"allows you to lock your computer, and quickly unlock with your password."
A,jellyfin-media-player,is a utility which establishes two byte streams and transfers data between them.
A,powerline-fonts-git,is a collection of useful unix tools.
A,ttf-ms-fonts
A,virtio-win
A,vim-plug
A,tremc
,steam
,bluez-utils
,brightnessctl
,docker
,easyeffects
,go
,groff
,kdeconnect
,man-pages
,minted
,nextcloud-client
,nodejs-lts-gallium
,openmw
,pigz
,pv
,rsync
,ripgrep
,samba
,ruby
,smartmontools
,spotifyd
A,spotify-tui
,ttf-opensans
,ttf-ibm-plex
,ttf-dejavu
,ttf-fira-code
,ttf-roboto
,valgrind
,virt-install
,virt-manager
,virt-viewer
,wine
,wine-mono
,winetricks
,wireguard-tools
,zip
,p7zip
